advisors,supporte,tutor_ex,supervis,role_ex,rcourses,courses_,exams_ex,disserta,requirem,problems,timeline,process_,career_e,jobs_ex,pubs_ex,research,ropportu,coauthor,grants_e,res_proc,assistan,meet_ex,regular_,checkin_,informat,proginfo,cours_pp,written_,oral_pp,diss_pp,reqs_pp,accurate,time_pp,helpful_,accrt_c,useful_c,career_c,checking,publicat,res_r,papers_r,grant_r,match_r,work_r,satisfie,comfort_,guide_r,multidis,this_sem,scheduli,funding,culture,changed,why_chan,ave_cont,gender,advisor_,assistsh,qual_qua,internat,stage1,stage2,stage3,stage4,stage5,stage6,stage7
2,3,3,2,2,4,4,4,4,4,4,3,3,2,2,2,2,2,3,2,3,2,4,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,2,3,3,3,2,2,5,3,3,0, ,3,2,2,0,2,0,0,1,1,0,1,0,0
2,3,3,3,2,4,4,4,4,4,4,4,4,2,2,4,3,3,3,3,4,1,4,3,3,1,2,1,1,1,3,1,4,1,2,4,4,1,2,0,0,0,0,3,3,2,4,3,1,2,5,0,1,0, ,3,1,1,0,1,0,0,1,1,1,1,0,0
2,3,3,4,2,2,2,3,3,3,4,3,4,4,4,2,3,2,3,3,3,2,4,3,3,1,2,2,3,3,1,2,5,1,1,2,2,3,2,1,1,1,0,4,1,2,1,1,1,2,4,1,1,0, ,3,2,2,1,1,0,0,0,0,0,0,1,1
2,3,3,4,3,3,1,3,3,3,2,1,4,2,2,2,3,2,3,2,4,3,4,1,1,1,2,4,3,2,4,3,3,5,4,3,4,3,3,1,1,1,0,4,2,4,4,4,2,2,1,1,3,0, ,4,2,2,1,1,0,0,0,0,0,0,0,1
2,3,3,4,4,3,2,2,3,4,3,4,2,1,3,2,3,4,4,4,3,3,3,1,2,1,2,4,5,5,5,2,3,5,3,3,4,2,2,0,0,0,0,3,3,3,4,3,3,1,4,0,4,1,8,2,2,2,1,1,0,0,1,0,0,0,0,0
2,3,4,2,3,2,3,2,4,3,2,1,2,1,2,3,2,3,2,2,3,1,4,3,4,3,2,4,3,5,5,4,4,2,3,4,3,3,3,1,0,0,0,1,1,2,3,2,1,1,4,1,4,0, , ,2,2,0,3,0,0,0,1,0,0,0,0
2,3,4,3,2,3,2,3,4,3,2,2,2,2,2,1,2,2,2,1,3,2,3,3,1,1,1,4,4,4,4,3,3,4,3,3,3,4,4,1,1,1,0,3,1,4,4,4,4,5,3,1,3,0, ,6,2,2,1,2,0,0,0,0,0,1,0,0
2,3,4,3,2,4,4,4,4,3,3,2,2,2,1,3,2,3,2,2,2,3,3,1,1,1,2,2,2,2,3,2,3,1,2,3,2,3,2,0,1,0,0,1,1,1,1,2,1,2,4,1,3,0, ,3,1,1,1,3,0,0,0,0,1,0,0,0
2,3,4,3,3,2,2,3,3,2,3,1,3,2,1,2,4,2,3,2,4,3,3,4,3,2,2,5,3,2,2,2,4,4,3,3,3,2,3,1,1,1,0,4,1,3,3,2,5,4,4,1,4,1, ,4,2,1,1,3,0,0,0,0,1,0,0,0
2,3,4,3,4,3,3,4,4,3,4,4,3,2,3,2,2,3,2,3,4,3,4,3,3,1,2,4,3,3,4,1,5,1,2,2,2,1,2,0,0,0,0,1,3,2,2,5,5,2,5,0,3,0, , ,1,1,0,2,1,1,0,0,0,0,0,0
2,3,4,4,3,3,3,2,4,2,3,3,4,2,4,1,3,1,3,2,3,1,4,2,2,2,1,2,2,3,3,1,3,2,3,3,3,3,2,0,0,0,0,2,1,1,1,1,1,1,5,0,3,1,4,2,2,1,1,1,0,0,0,0,0,0,1,0
2,3,4,4,3,3,3,4,4,3,3,2,2,3,3,1,2,2,3,3,1,4,4,2,1,1,2,3,4,4,4,3,4,4,3,3,3,2,1,0,1,1,1,4,4,3,3,3,4,2,4,1,4,0, ,3,2,2,1,1,0,0,0,0,0,0,0,1
2,3,4,4,3,2,3,2,4,2,1,2,3,3,3,4,4,3,4,2,4,1,3,3,2,3,2,4,4,4,4,4,4,4,4,3,4,3,4,0,0,0,0,2,2,1,3,2,2,2,4,1,2,0, ,3,2,1,1,3,0,0,0,0,0,1,0,0
2,4,3,1,2,3,2,4,4,3,3,2,4,1,1,3,1,2,1,3,4,2,4,2,4,1,2,4,4,4,3,4,4,4,3,4,4,2,1,1,0,0,0,2,1,2,3,3,5,1,4,0,3,1,7,3,2,2,0,3,0,0,0,0,1,0,0,0
2,4,3,2,3,2,1,2,4,2,3,2,3,1,2,2,3,3,2,3,3,3,4,3,4,1,2,2,4,4,4,3,4,4,3,4,4,2,4,0,0,0,0,2,2,2,4,3,1,2,4,0,4,1,7,4,2,2,1,1,0,0,0,0,1,0,0,0
2,4,3,2,3,2,3,4,4,4,4,3,3,3,2,2,2,3,2,2,2,2,3,2,1,2,2,2,1,1,3,1,3,3,2,3,3,1,3,1,1,0,0,2,2,3,4,3,2,1,4,1,4,0, ,3,1,1,1,3,1,0,0,1,0,0,0,0
2,4,3,2,3,4,4,4,4,4,3,3,3,2,3,2,2,2,2,2,3,3,4,3,1,1,2,4,4,4,3,3,4,2,3,4,4,3,2,0,0,0,0,3,3,4,3,4,1,1,4,0,3,0, ,2,1,1,1,1,0,0,0,0,0,0,1,0
2,4,3,2,4,3,2,3,4,3,3,2,3,1,1,2,2,2,1,1,3,1,4,3,3,1,2,3,2,3,3,3,4,2,4,4,4,2,4,1,0,0,0,2,2,4,4,4,2,1,3,0,3,1,9,3,1,2,0,3,0,0,0,0,1,0,0,0
2,4,3,3,3,4,4,4,4,3,3,2,4,1,1,2,2,2,2,2,3,2,4,2,1,1,3,4,4,4,4,3,4,3,3,3,3,4,4,0,0,0,0,3,2,2,2,2,2,3,2,0,3,0, ,4,2,1,1,2,0,0,0,0,0,0,1,0
2,4,3,3,3,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,3,2,4,3,4,3,3,3,3,3,3,2,2,0,0,0,0,2,1,1,2,3,2,2,4,0,4,0, ,3,1,1,0,2,0,0,0,1,0,0,0,0
2,4,3,3,3,2,3,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,3,2,2,2,4,4,4,4,4,3,4,4,4,4,3,4,1,1,0,0,4,3,4,4,4,4,4,4,1,3,0, ,5,2,1,1,3,1,0,0,0,1,1,0,0
2,4,3,3,4,3,3,4,4,3,2,2,2,2,3,1,2,2,2,2,2,3,4,3,2,1,1,2,2,2,2,2,2,3,3,3,3,2,3,0,0,0,0,2,2,2,2,2,2,4,3,0,1,1,4,5,2,1,1,1,0,0,0,1,0,0,0,0
2,4,4,2,3,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,3,1,4,3,1,2,2,3,4,5,4,3,3,3,4,3,4,3,2,1,0,0,0,4,2,3,4,4,5,2,4,0,4,0, ,2,2,1,0,4,0,1,0,0,0,0,0,0
2,4,4,2,3,4,4,4,4,4,4,4,4,2,1,2,1,1,1,1,4,1,4,2,2,1,2,3,1,1,1,2,3,1,2,2,2,1,2,0,0,0,0,2,2,2,4,3,1,2,3,3,3,0, ,2,2,1,0,3,0,0,0,1,0,0,0,0
2,4,4,3,3,4,2,4,4,4,3,3,1,2,2,3,2,2,2,3,3,2,4,2,1,1,2,3,2,2,2,3,3,1,2,2,3,2,2,0,0,0,0,3,3,2,1,1,2,2,3,0,4,0, ,2,2,2,1,2,0,1,0,0,0,0,0,0
2,4,4,4,2,2,2,3,3,2,2,2,3,2,4,3,3,3,4,4,4,4,4,4,4,3,1,1,1,2,3,1,1,1,2,1,3,2,2,0,1,0,0,3,1,2,2,2,1,1,5,0,4,1,6,1,2,1,1,4, ,0,0,0,0,0,0,0
3,1,2,4,3,4,3,4,4,4,2,2,3,2,3,1,4,4,4,2,1,3,1,1,2,1,1,2,1,1,1,2,3,1,2,3,2,2,1,0,1,0,0,3,3,2,3,3,1,3,4,1,1,0, ,4,1,1,1,2,0,0,0,1,0,0,0,0
3,1,3,2,3,2,3,2,3,2,2,2,2,1,1,1,3,2,3,3,3,1,3,2,1,1,2,3,2,2,4,3,3,3,3,4,4,1,3,0,1,1,0,3,2,4,4,4,4,2,4,0,3,0, , ,1,1,1,2,0,0,0,0,0,0,0,1
3,1,3,4,3,1,3,4,4,2,2,2,3,4,4,3,4,3,4,3,3,3,3,2,2,1,2,2,3,4,4,3,3,4,4,3,4,4,2,0,1,1,1,4,1,4,4,4,1,2,5,1,3,0, ,2,1,1,1,3,0,0,0,0,0,0,1,1
3,1,3,4,3,4,4,4,4,3,3,2,2,2,3,4,2,4,2,4,4,4,2,1,3,1,2,4,5,5,5,2,3,2,2,3,3,3,1,0,0,0,0,1,1,2,2,2,2,2,3,0,1,0, , ,2,1,1,4,0,0,1,0,0,0,0,0
3,1,4,1,2,3,3,4,4,2,3,1,2,1,1,2,2,2,2,1,4,2,3,3,2,2,2,3,4,4,4,3,4,2,2,4,4,1,2,0,0,0,0,1,1,4,4,3,2,1,4,0,3,0, ,2,2,1,0,3,0,0,0,0,0,0,1,0
3,1,4,3,2,2,4,3,3,3,2,2,1,2,2,3,3,3,3,3,4,2,3,2,1,1,2,3,5,5,5,3,4,5,3,3,3,3,2,0,0,0,0,3,2,4,4,5,5,3,2,3,3,0, ,5,2,2,0,4,0,1,0,0,0,0,0,0
3,1,4,3,3,4,4,4,4,3,2,2,3,1,2,2,2,3,3,3,4,3,3,1,2,1,1,3,3,3,3,3,3,4,3,3,3,3,1,0,0,0,0,3,1,2,3,3,1, ,5,1,3,0, ,2,1,1,0,3,0,1,0,0,0,0,0,0
3,1,4,3,4,2,2,3,3,1,3,3,4,4,3,2,4,3,4,3,4,3,4,3,2,3,2,3,4,4,2,5,4,2,4,3,4,3,3,1,1,0,1,3,2,1,2,1,3,2,4,1,2,0, ,3,2,1,1,3,0,0,0,0,0,1,0,0
3,2,1,2,3,4,3,3,4,4,4,3,3,1,1,1,1,1,1,1,1,1,4,2,3,1,2,4,2,2,3,3,4,4,3,4,3,2,2,0,0,0,0,3,2,3,4,3,3,1,5,0,3,0, ,2,1,2,0,2,0,0,1,0,0,1,0,0
3,2,1,2,4,4,2,4,4,4,3,1,1,1,1,3,2,2,2,2,3,3,4,2,2,1,1,3,2,2,2,2,3,1,3,3,3,1,3,0,0,0,0,2,2,3,3,3,2,1,3,0,1,1,5,5,1,1,1,3,0,0,0,0,0,1,0,0
3,2,1,3,2,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,4,4,3,3,2,2,2,2,4,2,2,2,3,3,3,4,4,0,0,0,0,2,4,2,4,4,1,3,5,0,4,1,9,4,2,1,1,1,0,0,0,0,0,0,1,0
3,2,2,2,2,3,3,3,4,3,3,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,4,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,2,2,5,0,3,0, ,3,1,1,0,3,0,0,1,0,0,0,0,0
3,2,2,2,3,4,2,4,4,4,3,4,3,2,2,1,2,2,2,2,2,1,4,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,7,0,3,0, ,1,2,1,0,3,0,0,1,0,0,0,0,0
3,2,2,3,3,3,3,4,4,4,4,4,4,3,2,1,2,2,2,1,2,3,3,2,2,1,2,3,3,4,4,3, ,4,3,3,4,2,3,0,1,0,0,3,3,4,4,3,3,2,4,1,4,1,4,5,2,2,1,2,0,0,1,1,1,1,0,0
3,2,2,4,3,3,3,2,3,3,2,2,3,3,3,1,2,3,2,2,3,2,2,1,2,3,2,3, , , ,3, ,2, , , , , ,0,0,0,0,2, , , ,3,2,1, ,1,3,0, , ,2,1,1,2,0,1,0,0,0,0,0,0
3,2,3,1,4,2,3,3,4,1,3,3,2,3,1,2,4,1,3,2,4,3,3,3,1,1,2,2,3,3,4,2,3,3,4,4,4,4,4,1,1,1,0,3,1,4,4,4,5,4,3,1,4,0, ,6,2,2,1,3,0,0,1,0,0,1,0,0
3,2,3,2,3,4,4,4,4,4,3,2,3,3,3,3,4,3,3,3,3,3,4,2,3,3,2,3,3,3,3,2,3,2,3,3,3,2,2,0,1,0,0,3,2,3,3,3,2,2,4,1,3,0, ,6,1,2,1,1,0,1,0,0,0,0,0,0
3,2,3,2,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,2,3,1,2,3,3,3,3,4,3,2,3,3,3,3,3,0,0,0,0,2,2,2,3,3,2,2,5,3,4,0, ,2,1,1,0,4,0,1,0,0,0,0,0,0
3,2,3,3,2,1,2,2,3,2,2,3,3,3,3,1,3,3,3,4,3,3,3,3,1,3,2,4,4,4,4,4,4,4,4,4,4,3,4,0,0,0,0,3,3,3,4,4,3,3,4,0,4,1,1,4,2,2,1,4,1,0,1,0,1,0,0,0
3,2,3,3,3,4,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,2,1,2,2,3,3,3,3,3,4,2,2,2,3,2,1,0,0,0,0,3,1,2,3,5,5,1,4,1,4,0, ,2,2,1,1,2,0,1,0,0,0,0,0,0
3,2,3,3,3,4,3,3,4,3,2,3,3,3,2,2,3,3,2,3,4,2,3,2,3,1,2,4,4,4,3,4,3,4,4,4,4,3,3,0,0,0,0,3,4,3,4,4,3,1,3,3,3,0, ,2,1,2,0,1,0,0,1,1,0,0,0,0
3,2,3,3,3,4,2,4,3,3,3,2,3,1,1,1,2,1,2,1,1,2,3,3,3,1,1,3,4,3,4,3,3,3,4,3,4,3,3,1,0,0,1,3,2,4,4,4,4,3,1,1,3,0, ,5,1,1,1,1,0,0,1,0,0,0,0,0
3,2,3,4,1,4,4,3,3,3,3,2,3,1,3,1,3,2,1,1,3,3,4,2,2,1,2,3,2,4,3,3,4,2,3,3,3,3,2,0,1,0,0,2,3,2,4,3,4, ,3,1,3,1,7,4,2,2,1,3,0,0,0,0,0,0,1,1
3,2,3,4,1,4,4,4,4,4,4,2,3,3,3,2,3,4,3,3,4,4,4,3,3,1,2,4,4,4,4,3,3,1,3,3,4,1,1,0,0,0,0,3,2,2,3,3,2,2,2,0,4,0, ,5,2,2,1,4,0,1,0,0,0,0,0,0
3,2,3,4,2,2,3,4,4,3,4,3,4,4,4,3,4,3,4,4,3,3,4,3,2,1,2,2,3,5,5,2,3,3,3,3,3,3,2,1,1,1,1,3,3,3,3,3,5,2,3,1,3,1,8,4,2,1,1,2,0,0,1,0,1,0,0,0
3,2,3,4,2,3,3,4,4,2,3,3,2,1,2,3,4,3,4,4,3,2,3,2,3,2,2,3,5,5,3,2,4,1,3,3,3,3,1,0,0,0,0,1,3,3,2,2,2,4,3,0,4,0, , ,2,1,1,3,0,1,0,0,0,0,0,0
3,2,3,4,4,1,2,3,4,2,2,1,3,4,3,1,4,3,4,4,3,2,3,2,1,1,2,4,3,3,4,4,4,4,4,4,4,3,2,0,1,1,1,4,2,3,4,4,1,3,5,1,4,0, ,6,2,2,1,3,0,0,0,0,0,0,1,0
3,2,4,2,3,4,3,4,4,3,3,3,2,3,3,2,3,3,3,3,3,1,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,3,4,1,0,0,0,3, ,4,4,4,3,1,4,0,1,0, ,5,2,2,0,2,0,1,0,0,0,0,0,0
3,2,4,3,2,4,4,3,4,2,2,2,2,2,2,3,3,2,3,3,4,1,2,3,1,3,2,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,3,2,3,4,4,5,2,4,1,3,0, ,3,2,2,0,3,0,0,0,0,0,1,0,0
3,2,4,3,2,3,3,3,3,3,3,3,3,3,2,2,4,3,3,4,4,4,4,3,3,1,2,2,3,4,3,2,2,3,3,3,4,3,4,1,1,0,1,4,4,4,4,4,4,2,3,1,3,1,9,3,2,1,1,2,0,0,0,0,1,0,0,0
3,2,4,3,3,4,4,4,4,4,3,3,3,2,2,3,3,3,3,3,3,2,3,3,2,1,2,3,3,3,3,2,2,3,3,3,3,2,2,0,1,0,0,3,2,3,3,3,2,3,4,0,4,0, ,4,1,1,1,2,0,0,1,0,0,0,0,0
3,2,4,4,1,1,2,2,4,2,2,2,3,3,4,2,4,4,4,4,4,3,4,2,2,1,2,2,3,4,3,2,3,1,3,3,4,4,3,1,1,1,1,4,3,4,4,4,3,2,4,1,4,1,9,5,2,2,1,3,0,0,0,0,0,1,1,0
3,2,4,4,2,3,3,3,4,2,2,2,4,3,3,1,4,4,4,3,4,3,2,2,1,3,2,4,4,4,3,4,4,3,3,3,3,3,3,0,0,0,0,2,1,1,3,2,2,1,7,3,1,0, ,3,2,1,1,1,0,0,0,0,0,0,0,1
3,2,4,4,2,2,3,2,3,1,3,3,2,2,2,4,4,4,4,3,4,3,2,1,1,1,2,4,3,3,3,4,4,3,3,4,4,3,3,1,1,0,1,3,2,3,4,4,3,3,3,0,3,0, ,6,1,1,1,2,0,1,0,0,0,0,0,0
3,2,4,4,4,1,2,4,4,3,3,4,4,4,4,2,4,3,3,2,3,4,3,3,2,3,2,3,4,4,4,4,4,3,4,3,4,4,4,1,1,1,0,3,2,4,3,4,3,3,6,1,3,0, ,5, ,2,1,3,0,0,0,0,1,0,0,0
3,3,1,1,1,4,4,4,4,4,4,3,3,1,1,2,2,3,2,2,2,1,4,2,1,1,2,3,3,3,3,3,3,2,4,3,3,1,2,0,0,0,0,2,2,3,3,3,1,2,5,1,4,0, ,2,2,2,0,1,0,0,1,0,0,0,0,0
3,3,2,1,2,4,3,4,4,3,3,2,4,1,2,1,4,4,3,1,4,4,4,4,4,1,2,3,2,2,2,2,2,3,3,3,3,4,1,0,0,1,0,3,1,1,3,2,1,2,5,0,4,0, ,2,2,1,1,1,0,0,1,1,0,0,0,0
3,3,2,2,1,4,4,4,4,3,4,3,3,2,2,2,3,3,3,2,4,3,3,2,1,1,2,4,4,4,3,4,4,2,3,3, ,3,3,0,0,0,0,3,3,4,4,4,3,1,5,0,4,1,6,2,1,1,1,3,0,0,0,0,0,1,0,0
3,3,2,2,2,3,3,4,4,3,2,2,2,3,2,1,1,3,1,3,2,3,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1, ,0,3,0, , ,2,1,1,2,0,1,0,0,0,0,0,0
3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4, , , , ,4, , ,4,4,4,2,1,3,2,1,4,6,2,2,0,2,0,0,0,0,0,1,0,0
3,3,2,2,3,2,2, ,3,2,3,3,3,4,4,4,4,3,4,4,4,4,3,3,3,2,2,2,4,4,4,3,3,4,4,3,3,3,3,0,1,0,0,4,2,4,4,3,2,4,3,0,4,1,1,4,2,1,1,1,0,0,0,0,1,0,0,0
3,3,2,2,4,3,3,3,3,3,3,3,4,4,4,2,4,4,3,3,4,3,4,4,4,1,1,4,4,4,3,2,3,2,3,3,3,2,2,0,0,0,0,1,1,1,1,1,1,2,5,0,4,0, ,3,1,1,0,3,1,1,0,0,0,0,0,0
3,3,2,3,3,4,4,4,4,4,3,4,4,3,3,4,3,3,2,3,3,3,4,3,2,1,2,3,3,3,3,4,4,4,3,4,4,4,4,1,0,0,0,4,3,3,3,4,5,3,3,1,4,0, ,4,2,2,1,4,0,0,1,0,0,0,0,0
3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,3, ,2,3,3,3,1,1,2,2,2,2,2,2,2,3,2,2,2,2,0,1,1,0,3,3,3,2,2,2,3,3,0,4,0, ,5,1,1,1,3,1,1,0,0,0,0,0,0
3,3,2,3,4,2,2,3,4,4,4,3,4,2,2,3,4,4,2,4,3,3,4,2,2,1,1,4,4,5,5,1,3,2,3,4,4,1,3,0,0,0,0,3,2,4,4,5,2,3,2,0,4,0, ,4,2,2,1,3,1,0,0,1,0,0,0,0
3,3,3,1,4,4,3,3,3,3,3,2,2,1,1,2,3,2,3,3,3,1,2,3,3,1,1,3,3,3,3,3,3,3,4,3,4,4,4,1,1,0,0,4,2,4,4,4,4,4,3,1,3,0, , ,1,1,1,4,0,1,0,0,0,0,0,0
3,3,3,2,2,4,4,4,4,4,3,2,2,1,2,1,3,3,3,2,4,1,4,1,2,1,1,2,1,1,1,3,3,2,3,3,3,1,1,0,0,0,0,3,1,1,1,1,1,4,4,0,4,0, ,4,2,2,1,2,0,0,1,0,0,0,0,0
3,3,3,2,2,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,4,4,4,5,4,4,3,4,4,4,2,2,0,0,0,0, , , , ,5,5,2,4,0,4,0, ,4,2,1,0,4,0,1,0,0,0,0,0,0
3,3,3,2,3,3,3,3,4,3,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,1,1,3,2, , ,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,1,5,0,3,0,8, ,1,1,0,3,0,0,1,0,0,0,0,0
3,3,3,2,4,4,4,3,3,2,3,2,2,2,2,2,2,3,2,3,4,1,2,2,3,1,2,2,2,2,2,2,5,1,2,3,3,1,1,1,0,0,0,3,1,2,4,5,5,2,3,0,4,0, ,2,2,2,0,1,0,1,0,0,0,0,0,0
3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2,3,1,3,2,2,2,2,3,4,3,3,3,3,3,4,3,4,4,4,1,0,0,0,4,4,4,4,4,5,2,4,1,1,1,3,3,2,1,0,2,0,0,1,1,0,0,0,0
